,电影名称,年份,年度票房,国家地区,主类型,作品类型,片长,导演,演员
43,叶问4:完结篇,2020,41914.39,中国,动作,动作/剧情,107,叶伟信,甄子丹/斯科特:阿特金斯/吴建豪/陈国坤/吴樾/林家栋
44,同桌的妳,2014,45573.6,中国,爱情,爱情/青春/怀旧,98,郭帆/孔大山/郁刚,周冬雨/林更新/隋凯/王啸坤
45,后会无期,2014,62881.15,中国,爱情,爱情/公路/文艺,120,韩寒/于梦,陈柏霖/陈乔恩/冯绍峰/钟汉良
46,后来的我们,2018,136151.52,中国,爱情,爱情/剧情,120,刘若英,周冬雨/井柏然/田壮壮/苏小明
47,听风者,2012,23216.96,中国,剧情,剧情,120,麦兆辉/庄文强,梁朝伟/周迅/王学兵/范晓萱
48,哥斯拉,2014,48141.72,美国,科幻,科幻/灾难/动作,123,加里斯·爱德华斯,亚伦·泰勒-约翰逊/布莱恩·科兰斯顿/伊丽莎白·奥尔森/渡边谦
49,哥斯拉2:怪兽之王,2019,93736.81,美国,科幻,科幻/灾难/动作,132,迈克尔·道赫蒂,凯尔·钱德勒/米莉·博比·布朗/布莱德利·惠特福德/维拉·法梅加
50,哥斯拉大战金刚,2021,123262.87,美国,动作,动作/科幻/冒险,113,亚当·温加德,亚历山大斯卡斯加德/米莉·博比·布朗/丽贝卡·豪尔/布莱恩·泰里·亨利
51,哥，你好,2022,54830.99,中国,喜剧,喜剧/剧情,111,张栾,马丽/常远/魏翔/贾冰/黄允桐
52,哪吒之魔童降世,2019,500358.84,中国,动画,动画/玄幻/动作/冒险,110,饺子,吕艳婷/囧森瑟夫/瀚墨/陈浩/绿绮
53,唐人街探案,2016,68261.87,中国,喜剧,喜剧/动作/剧情/悬疑,135,陈思诚,王宝强/刘昊然/肖央/佟丽娅
54,唐人街探案2,2018,339768.79,中国,喜剧,喜剧/动作/悬疑,120,陈思诚,王宝强/刘昊然/肖央/刘承羽
55,唐人街探案3,2021,451505.11,中国,喜剧,喜剧/动作/悬疑/探案,136,陈思诚/彭瑛朝,刘昊然/王宝强/张子枫/妻夫木聪/托尼贾/三浦友和/长泽雅美
56,四海,2022,54294.8,中国,剧情,剧情/喜剧/文艺,128,韩寒/线雨轩,刘昊然/刘浩存/沈腾/尹正/乔杉
57,地心历险记2:神秘岛,2012,38651.89,美国,科幻,科幻/动作/冒险/喜剧,94,布拉德·佩顿,道恩·强森/乔什·哈切森/瓦妮莎·哈金斯/迈克尔·凯恩
58,地心引力,2013,43553.24,美国,科幻,科幻/惊悚/冒险,91,阿方索·卡隆,乔治·克鲁尼/桑德拉·布洛克/艾德·哈里斯/奥托·伊格内修森
59,坏蛋联盟,2022,33523.26,美国,动画,动画/冒险/喜剧,101,彼埃尔·佩里菲尔,山姆:洛克威尔/奥卡菲娜/安东尼:拉莫斯/马克·马龙/克雷格·罗宾森
60,坚如磐石,2023,134883.06,中国,剧情,剧情/犯罪/悬疑,127,张艺谋,雷佳音/张国立/于和伟/周冬雨/孙艺洲/李乃文/许亚军
61,复仇者联盟,2012,56648.51,美国,科幻,科幻/动作/冒险,143,乔斯·韦登,克里斯·埃文斯/小罗伯特·唐尼/克里斯·海姆斯沃斯/斯嘉丽·约翰逊
62,复仇者联盟2:奥创纪元,2015,146439.14,美国,科幻,科幻/动作/冒险,141,乔斯·韦登,亚伦·希梅尔斯坦/琳达·卡德里尼/朱利安·布里奇/曼德拉·加杜卡
63,复仇者联盟3:无限战争,2018,239053.22,美国,动作,动作/科幻/奇幻/冒险,150,安东尼·罗素/乔·罗素,小罗伯特·唐尼/克里斯·海姆斯沃斯/克里斯·埃文斯/乔什·布洛林
64,复仇者联盟4:终局之战,2019,424922.22,美国,动作,动作/科幻/冒险,181,安东尼·罗素/乔·罗素,小罗伯特·唐尼/克里斯·埃文斯/克里斯·海姆斯沃斯/乔什·布洛林/布丽·拉尔森/查德维克·博斯曼/斯嘉丽·约翰逊
65,夏洛特烦恼,2015,144159.53,中国,喜剧,喜剧/爱情/青春,104,闫非/彭大魔/周正飞,沈腾/李立群/艾伦/宋阳/马丽/尹正
66,大闹天竺,2017,75792.68,中国,喜剧,喜剧/动作/冒险,100,王宝强,王宝强/柳岩/岳云鹏/白客/林永健
67,大黄蜂,2019,114956.23,美国,动作,动作/科幻/冒险,114,特拉维斯·奈特,海莉·斯坦菲尔德/帕梅拉·奥德隆/约翰·塞纳/彼特·库伦/格蕾丝·达斯恩妮
68,天将雄师,2015,74417.7,中国,动作,动作/冒险/剧情,127,李仁港/成龙/肖昂/施磊,成龙/约翰·库萨克/崔始源/保罗·菲利普·克拉克
69,失控玩家,2021,61250.11,美国,动作,动作/冒险,115,肖恩·利维,瑞安·雷诺兹/朱迪·科默/里尔·莱尔·哈瓦瑞/塔伊加·维迪提/乔·基瑞
70,头号玩家,2018,139666.06,美国,科幻,科幻/动作/冒险,140,史蒂文·斯皮尔伯格,泰尔·谢里丹/奥利维亚·库克/本·门德尔森/西蒙·佩吉
71,夺冠,2020,83566.85,中国,剧情,剧情/运动/励志/主旋律,135,陈可辛/孙岩,巩俐/白浪/彭昱畅/吴刚/陈展/罗慧/李冬徐/马雪纯
72,奇幻森林,2016,97933.0,美国,奇幻,奇幻/冒险/剧情,105,乔恩·费儒,郭涛/郭子睿/张涵予/尼尔·塞西
73,奇异博士,2016,75165.47,美国,奇幻,奇幻/冒险/动作,115,斯科特·德瑞克森/詹姆斯·古恩/塔伊加·维迪提,本尼迪克特·康伯巴奇/蒂尔达·斯文顿/切瓦特·埃加福特/瑞秋·麦克亚当斯
74,奇迹·笨小孩,2022,137992.66,中国,剧情,剧情,106,文牧野,易烊千玺/田雨/王传君/章宇
75,如果声音不记得,2020,33498.13,中国,爱情,爱情/奇幻,102,落落,章若楠/孙晨竣/王彦霖/严屹宽/左小青
76,姜子牙,2020,160298.34,中国,动画,动画/奇幻/冒险/动作,110,程腾/李炜/王昕/李夏/皇贞季,山新/郑希/李佳怡/邢子皓/陈思宇/朱茗妙
77,孤注一掷,2023,385117.91,中国,剧情,剧情/犯罪/悬疑,130,申奥,张艺兴/金晨/咏梅/王传君/王大陆/周也/孙阳
78,宠爱,2020,51059.9,中国,剧情,剧情/喜剧/爱情,108,杨子,陈伟霆/郭麒麟/余皑磊/檀健次/钟楚曦
79,寒战,2012,25303.53,中国,动作,动作/警匪,97,陆剑青/梁乐民,郭富城/梁家辉/李治廷/彭于晏
80,寒战2,2016,67819.26,中国,动作,动作/警匪/悬疑,110,梁乐民/陆剑青,郭富城/梁家辉/周润发/杨采妮
81,寻梦环游记,2017,115250.85,美国,动画,动画/冒险/亲情,105,李·昂克里奇/阿德里安·莫利纳,本杰明·布拉特/盖尔·加西亚·贝纳尔/芮妮·维克托/阿兰纳·乌巴奇/切奇·马林
82,寻龙诀,2015,137391.28,中国,动作,动作/冒险/惊悚,125,乌尔善,陈坤/黄渤/杨颖/夏雨/舒淇/刘晓庆
83,封神第—部:朝歌风云,2023,263606.82,中国,剧情,剧情/神话/古装/玄幻/动作,148,乌尔善,费翔/李雪健/黄渤/于适/陈牧驰/娜然/此沙
84,小时代,2013,48436.35,中国,爱情,爱情/青春,116,郭敬明,柯震东/杨幂/谢依霖/郭采洁/郭碧婷/姜潮/陈学冬
85,小时代3:刺金时代,2014,52155.84,中国,爱情,爱情/青春/职场/友情,126,郭敬明/黄常祚,锦荣/郭采洁/郭碧婷/谢依霖
86,少年派的奇幻漂流,2012,57288.81,美国,剧情,剧情/冒险/灾难,127,李安/林君昵,伊尔凡·可汗/苏拉·沙玛/拉菲·斯波/阿迪勒·侯赛因
87,少年的你,2019,155622.55,中国,剧情,剧情/青春,135,曾国祥,周冬雨/易烽千玺/尹防/黄觉
88,巨齿鲨,2018,105178.13,美国,动作,动作/科幻/冒险,115,乔·德特杜巴,杰森·斯坦森/李冰冰/鲁比·罗丝/雷恩·威尔森
89,巨齿鲨2:深渊,2023,85198.63,美国/中国,动作,动作/科幻/惊悚/冒险,117,本·维特利,杰森:·斯坦森/吴京/蔡书雅/克利夫柯蒂斯/佩吉·肯尼迪
90,异星战场,2012,26008.53,美国,科幻,科幻/动作/冒险,132,安德鲁·斯坦顿,布莱恩·科兰斯顿/马克·斯特朗/泰勒·克奇/Ciar&#225;n Hinds
91,心花路放,2014,116934.12,中国,喜剧,喜剧/爱情/公路,118,宁浩/张弛/吕赢,袁泉/周冬雨/陶慧/岳小军
92,志愿军:雄兵出击,2023,85309.88,中国,战争,战争/主旋律/历史,140,陈凯歌/林杰/陈飞宏/储文明,唐国强/王砚辉/刘劲/辛柏青/张颂文/章子怡/朱亚文/张子枫/魏大勋
93,怒火·重案,2021,132907.63,中国,动作,动作/犯罪,128,陈木胜,甄子丹/谢霆锋/秦岚/谭耀文
94,急先锋,2020,29380.92,中国,动作,动作/冒险/喜剧,108,唐季礼/周惠坤/陈志豪,成龙/杨洋/艾伦/徐若晗/母其弥雅
95,恶棍天使,2015,59736.2,中国,喜剧,喜剧,124,邓超/俞白眉,邓超/孙俪/许可嘉/代乐乐/栾元晖
96,悬崖之上,2021,119014.53,中国,剧情,剧情/动作/悬疑,120,张艺谋,张译/于和伟/秦海璐/朱亚文/刘浩存/倪大红/李乃文
97,惊奇队长,2019,103517.78,美国,动作,动作/科幻/冒险,124,安娜·波顿/瑞安·弗雷克,布丽·拉尔森/塞缪尔·杰克逊/本·门德尔森/裘德·洛/嘉玛·陈
98,我不是药神,2018,309996.1,中国,剧情,剧情/喜剧,96,文牧野/尚进/舒巴姆·古普塔/高拉夫·德文·卡肖尔,徐峥/宁浩/王传君/周一围
99,我和我的家乡,2020,282883.18,中国,剧情,剧情/喜剧/主旋律,153,宁浩/徐峥/陈思诚/邓超/俞白眉/闫非/彭大魔/蔡婧,黄渤/王宝强/刘吴然/佟丽娅/葛优/吴京/张译/徐峥/雷佳音
100,我和我的父辈,2021,147687.87,中国,剧情,剧情/主旋律,156,吴京/章子怡/徐峥/沈腾,吴京/章子怡/徐峥/沈腾/吴磊/黄轩
101,我和我的祖国,2019,312366.45,中国,剧情,剧情/主旋律,155,陈凯歌/张一白/管虎/薛晓路/徐峥/宁浩/文牧野,黄渤/张译/刘涛/杜江/葛优/宋佳/刘昊然/陈飞宇/王天辰/佟丽娅
102,我在时间尽头等你,2020,50432.57,中国,爱情,爱情/奇幻/喜剧,115,姚婷婷,李鸿其/李一桐/张超/范伟/罗辑/郭欣禹
103,我的姐姐,2021,86019.06,中国,剧情,剧情/家庭,126,殷若昕/周正飞/张正权,张子枫/肖央/朱媛媛/段博文/梁靖康/金遥源
104,战狼2,2017,567874.73,中国,动作,动作/战争/主旋律,123,吴京,吴京/弗兰克·格里罗/昊刚/张翰/卢靖姗
